Employee ID,Employee Name,Department,Transaction Code,Transaction Description,Transaction Category,Posting date of transaction,Transaction Date,Merchant Info DBA Name,Transaction Amount,Debit or Credit,Merchant Category Code,Merchant City,Merchant Country,Merchant Postal Code,Merchant State/Province,Conversion Rate
E007,Lucas Brown,Product,3001,NORTHDALE OIL SWEET CR GRASSY BUTTE ND,1,9/4/2025,9/3/2025,NORTHDALE OIL SWEET CR,708.23,Debit,5541.0,GRASSY BUTTE,USA,58634,ND,1.381809455
E002,John Miller,Product,3001,BANNOCK PEAK POCATELLO ID,1,9/4/2025,9/3/2025,BANNOCK PEAK,849.38,Debit,5541.0,POCATELLO,USA,83204,ID,1.3811
E006,Maya Patel,Marketing,3001,SD DEPT OF TRANS OPS PIERRE SD,1,9/5/2025,9/4/2025,SD DEPT OF TRANS OPS,106.92,Debit,9399.0,PIERRE,USA,57501,SD,1.381040646
E006,Maya Patel,Customer Success,3001,SD DEPT OF TRANS OPS PIERRE SD,1,9/5/2025,9/4/2025,SD DEPT OF TRANS OPS,35.49,Debit,9399.0,PIERRE,USA,57501,SD,1.3848
E010,Sophia Lee,Marketing,3001,LOVE'S #0337 INSIDE ALBERT LEA MN,1,9/5/2025,9/4/2025,LOVE'S #0337 INSIDE,899.38,Debit,5541.0,ALBERT LEA,USA,56007,MN,1.381099289
E005,Daniel Kim,Marketing,3001,DTOPS SINGLE CROSSING INDIANAPOLIS IN,1,9/5/2025,9/4/2025,DTOPS SINGLE CROSSING,27.75,Debit,9399.0,INDIANAPOLIS,USA,46278,IN,1.381122449
E001,Sarah Chen,Operations,3001,AB TRANSP 403-340-5075 EDMONTON AB,1,9/5/2025,9/3/2025,AB TRANSP 403-340-5075,267.0,Debit,9399.0,EDMONTON,CAN,T5K2C3,AB,0.0
E008,Olivia Smith,Product,3001,AB TRANSP 403-340-5075 EDMONTON AB,1,9/5/2025,9/3/2025,AB TRANSP 403-340-5075,18.75,Debit,9399.0,EDMONTON,CAN,T5K2C3,AB,0.0
E009,Noah Garcia,Human Resources,3001,LOVE'S #0337 INSIDE ALBERT LEA MN,1,9/5/2025,9/4/2025,LOVE'S #0337 INSIDE,69.35,Debit,5541.0,ALBERT LEA,USA,56007,MN,1.381098183
E002,John Miller,Human Resources,3001,SKEANS PNEUMATIC AND A CALGARY AB,1,9/5/2025,9/4/2025,SKEANS PNEUMATIC AND A,311.05,Debit,5085.0,CALGARY,CAN,T2C4R1,AB,0.0
E007,Lucas Brown,Finance,3001,PZG**MT DEPT TRANSPORT HELENA MT,1,9/5/2025,9/4/2025,PZG**MT DEPT TRANSPORT,428.13,Debit,9399.0,HELENA,USA,59601,MT,1.384913793
E002,John Miller,Sales,3001,Amazon.ca*6M0UO1Q23 866-216-1072 ON,1,9/5/2025,9/5/2025,Amazon.ca*6M0UO1Q23,10.49,Debit,4816.0,866-216-1072,CAN,M5J 2T3,ON,0.0
E009,Noah Garcia,Sales,3001,MI SUPERLOAD WINNIPEG MB,1,9/5/2025,9/4/2025,MI SUPERLOAD,787.75,Debit,8220.0,WINNIPEG,CAN,R3H0C4,MB,0.0
E005,Daniel Kim,Sales,3001,MCSD OSOW - CONV. FEE NASHVILLE TN,1,9/5/2025,9/3/2025,MCSD OSOW - CONV. FEE,6.83,Debit,9399.0,NASHVILLE,USA,37215,TN,1.381742739
E010,Sophia Lee,Human Resources,3001,DTOPS SINGLE CROSSING INDIANAPOLIS IN,1,9/5/2025,9/4/2025,DTOPS SINGLE CROSSING,27.75,Debit,9399.0,INDIANAPOLIS,USA,46278,IN,1.381122449
E006,Maya Patel,Engineering,3001,LOVE'S #0789 INSIDE GREAT FALLS MT,1,9/5/2025,9/4/2025,LOVE'S #0789 INSIDE,620.91,Debit,5541.0,GREAT FALLS,USA,59404,MT,1.384902037
E010,Sophia Lee,Engineering,404,CASH INTEREST CHARGE,2,9/5/2025,9/5/2025,CASH INTEREST CHARGE,0.05,Debit,,,,,,0.0
E004,Emma Wilson,Human Resources,3001,TELUS MOBILITY PREAUTH EDMONTON AB,1,9/5/2025,9/4/2025,TELUS MOBILITY PREAUTH,269.33,Debit,4812.0,EDMONTON,CAN,T5J 0N5,AB,0.0
E002,John Miller,Human Resources,3001,WESTERN DAKOTA ENERGY BISMARCK ND,1,9/8/2025,9/5/2025,WESTERN DAKOTA ENERGY,38.03,Debit,4784.0,BISMARCK,USA,58504,ND,1.384845091
E001,Sarah Chen,Operations,3001,NDHP-E PERMIT 701-328-2426 ND,1,9/8/2025,9/6/2025,NDHP-E PERMIT,39.64,Debit,9399.0,701-328-2426,USA,58505,ND,1.381071429
E004,Emma Wilson,Finance,3001,NDHP-E PERMIT 701-328-2426 ND,1,9/8/2025,9/6/2025,NDHP-E PERMIT,39.64,Debit,9399.0,701-328-2426,USA,58505,ND,1.381071429
E005,Daniel Kim,Engineering,3001,MI SUPERLOAD WINNIPEG MB,1,9/8/2025,9/5/2025,MI SUPERLOAD,296.21,Debit,8220.0,WINNIPEG,CAN,R3H0C4,MB,0.0
E002,John Miller,Human Resources,3001,BC PERMIT CENTRE VICTORIA BC,1,9/8/2025,9/4/2025,BC PERMIT CENTRE,209.0,Debit,9399.0,VICTORIA,CAN,V8W9T5,BC,0.0
E004,Emma Wilson,Customer Success,3001,Amazon.ca*RY6489EM3 866-216-1072 ON,1,9/8/2025,9/8/2025,Amazon.ca*RY6489EM3,11.1,Debit,4816.0,866-216-1072,CAN,M5J 2T3,ON,0.0
E002,John Miller,Customer Success,3001,EXXON ROCKER 3 #1357 BUTTE MT,1,9/8/2025,9/7/2025,EXXON ROCKER 3 #1357,69.48,Debit,5541.0,BUTTE,USA,59701,MT,1.384316929
E007,Lucas Brown,Human Resources,3001,PRINCESS AUTO 31 CALGARY AB,1,9/8/2025,9/7/2025,PRINCESS AUTO 31,120.72,Debit,5085.0,CALGARY,CAN,T2Z 0H3,AB,0.0
E005,Daniel Kim,Finance,3001,TXDMV OS PERMIT TPE AUSTIN TX,1,9/8/2025,9/5/2025,TXDMV OS PERMIT TPE,87.45,Debit,9399.0,AUSTIN,USA,78731,TX,1.384840123
E008,Olivia Smith,Human Resources,3001,BC PERMIT CENTRE VICTORIA BC,1,9/8/2025,9/6/2025,BC PERMIT CENTRE,40.0,Debit,9399.0,VICTORIA,CAN,V8W9T5,BC,0.0
E006,Maya Patel,Engineering,3001,ROAD RANGER #289 TEAGUE TX,1,9/8/2025,9/7/2025,ROAD RANGER #289,511.73,Debit,5541.0,TEAGUE,USA,75860,TX,1.384306114
E003,Alex Johnson,Human Resources,3001,DTOPS SINGLE CROSSING INDIANAPOLIS IN,1,9/8/2025,9/5/2025,DTOPS SINGLE CROSSING,27.81,Debit,9399.0,INDIANAPOLIS,USA,46278,IN,1.384183673
E006,Maya Patel,Finance,3001,AB TRANSP 403-340-5075 EDMONTON AB,1,9/8/2025,9/4/2025,AB TRANSP 403-340-5075,70.0,Debit,9399.0,EDMONTON,CAN,T5K2C3,AB,0.0
E006,Maya Patel,Customer Success,3001,AB TRANSP 403-340-5075 EDMONTON AB,1,9/8/2025,9/5/2025,AB TRANSP 403-340-5075,424.0,Debit,9399.0,EDMONTON,CAN,T5K2C3,AB,0.0
E004,Emma Wilson,Customer Success,3001,FLYING J 550 MINOT ND,1,9/8/2025,9/5/2025,FLYING J 550,637.65,Debit,5541.0,MINOT,USA,58701,ND,1.3849065
E005,Daniel Kim,Finance,3001,THE HOME DEPOT #7050 SPRUCE GROVE AB,1,9/8/2025,9/4/2025,THE HOME DEPOT #7050,108.11,Debit,5200.0,SPRUCE GROVE,CAN,T7X 3X3,AB,0.0
E002,John Miller,Marketing,3001,NDHP-E PERMIT 701-328-2426 ND,1,9/8/2025,9/6/2025,NDHP-E PERMIT,39.64,Debit,9399.0,701-328-2426,USA,58505,ND,1.381071429
E010,Sophia Lee,Marketing,3001,CENEX-FUOC OF CARPIO CARPIO ND,1,9/8/2025,9/5/2025,CENEX-FUOC OF CARPIO,812.87,Debit,5541.0,CARPIO,USA,58725,ND,1.38490823
E003,Alex Johnson,Product,3001,AB TRANSP 403-340-5075 EDMONTON AB,1,9/8/2025,9/5/2025,AB TRANSP 403-340-5075,92.5,Debit,9399.0,EDMONTON,CAN,T5K2C3,AB,0.0
E009,Noah Garcia,Customer Success,3001,DEPT OF TRANS TRUCKPER LINCOLN NE,1,9/8/2025,9/4/2025,DEPT OF TRANS TRUCKPER,23.78,Debit,9399.0,LINCOLN,USA,685082532,NE,1.385074627
E004,Emma Wilson,Engineering,3001,VCN*KANSASMVPERMIT TOPEKA KS,1,9/8/2025,9/5/2025,VCN*KANSASMVPERMIT,62.46,Debit,9399.0,TOPEKA,USA,66611,KS,1.385
E003,Alex Johnson,Engineering,3001,COFFEE CUP #8 VIVIAN SD,1,9/8/2025,9/5/2025,COFFEE CUP #8,485.12,Debit,5541.0,VIVIAN,USA,57576,SD,1.384293653
E008,Olivia Smith,Marketing,3001,AB TRANSP 403-340-5075 EDMONTON AB,1,9/8/2025,9/4/2025,AB TRANSP 403-340-5075,129.25,Debit,9399.0,EDMONTON,CAN,T5K2C3,AB,0.0
E007,Lucas Brown,Sales,3001,SUNCO COMMUNICATION AN EDMONTON AB,1,9/8/2025,9/6/2025,SUNCO COMMUNICATION AN,4971.0,Debit,5045.0,EDMONTON,CAN,T5S 2X4,AB,0.0
E005,Daniel Kim,Operations,3001,DTOPS SINGLE CROSSING INDIANAPOLIS IN,1,9/8/2025,9/6/2025,DTOPS SINGLE CROSSING,27.81,Debit,9399.0,INDIANAPOLIS,USA,46278,IN,1.384183673
E009,Noah Garcia,Product,3001,AB TRANSP 403-340-5075 EDMONTON AB,1,9/8/2025,9/5/2025,AB TRANSP 403-340-5075,93.0,Debit,9399.0,EDMONTON,CAN,T5K2C3,AB,0.0
E004,Emma Wilson,Marketing,3001,DRIVERRECOR 4166236258 BC,1,9/8/2025,9/5/2025,DRIVERRECOR,25.0,Debit,7375.0,4166236258,CAN,V1M1T4,BC,0.0
E006,Maya Patel,Engineering,3001,EDMONTON KUBOTA EDMONTON AB,1,9/8/2025,9/5/2025,EDMONTON KUBOTA,20.16,Debit,763.0,EDMONTON,CAN,T5V 1S7,AB,0.0
E001,Sarah Chen,Engineering,3001,CENEX-FUOC OF CARPIO CARPIO ND,1,9/8/2025,9/5/2025,CENEX-FUOC OF CARPIO,68.34,Debit,5541.0,CARPIO,USA,58725,ND,1.384918986
E004,Emma Wilson,Operations,3001,TOOT'N TOTUM #100 - PERRTYON TX,1,9/8/2025,9/6/2025,TOOT'N TOTUM #100 -,496.07,Debit,5541.0,PERRTYON,USA,79070,TX,1.38431395
E001,Sarah Chen,Product,3001,OKC SIZE & WEIGHTS PER OKLAHOMA CITY OK,1,9/8/2025,9/5/2025,OKC SIZE & WEIGHTS PER,62.0,Debit,9399.0,OKLAHOMA CITY,USA,73105,OK,1.384844322
E006,Maya Patel,Engineering,3001,GOOSENECK IMPLEMENT KENMARE ND,1,9/8/2025,9/5/2025,GOOSENECK IMPLEMENT,25.58,Debit,5046.0,KENMARE,USA,58746,ND,1.385127636
E007,Lucas Brown,Marketing,3001,Adobe San Jose CA,1,9/8/2025,9/6/2025,Adobe,27.29,Debit,5818.0,San Jose,USA,95110,CA,0.0
E005,Daniel Kim,Finance,3001,FLYING J 893 AVOCA IA,1,9/8/2025,9/4/2025,FLYING J 893,1058.98,Debit,5541.0,AVOCA,USA,51521,IA,1.381105794
E002,John Miller,Human Resources,3001,VCN*IDAHODOT BOISE ID,1,9/9/2025,9/8/2025,VCN*IDAHODOT,131.06,Debit,9399.0,BOISE,USA,83703,ID,1.384815336
E004,Emma Wilson,Engineering,3001,VCN*IDAHODOT BOISE ID,1,9/9/2025,9/8/2025,VCN*IDAHODOT,131.06,Debit,9399.0,BOISE,USA,83703,ID,1.384815336
E010,Sophia Lee,Sales,3001,VCN*IDAHODOT BOISE ID,1,9/9/2025,9/8/2025,VCN*IDAHODOT,62.85,Debit,9399.0,BOISE,USA,83703,ID,1.384823848
E006,Maya Patel,Product,3001,PILOT 924 BUTTE MT,1,9/9/2025,9/7/2025,PILOT 924,891.2,Debit,5541.0,BUTTE,USA,59701,MT,1.38429206
E004,Emma Wilson,Human Resources,3001,CCD ORION FEE SALEM OR,1,9/9/2025,9/8/2025,CCD ORION FEE,12.38,Debit,9399.0,SALEM,USA,973015397,OR,1.385321101
E008,Olivia Smith,Customer Success,3001,COSTCO WHOLESALE W1270 EDMONTON INTE AB,1,9/9/2025,9/8/2025,COSTCO WHOLESALE W1270,98.67,Debit,5300.0,EDMONTON INTE,CAN,T9E1K2,AB,0.0
E007,Lucas Brown,Finance,3001,PILOT 195 WASCO OR,1,9/9/2025,9/7/2025,PILOT 195,987.63,Debit,5541.0,WASCO,USA,97065,OR,1.384297105
E008,Olivia Smith,Product,3001,BB OF FLAG CITY #94 LODI CA,1,9/9/2025,9/8/2025,BB OF FLAG CITY #94,228.73,Debit,7542.0,LODI,USA,952429345,CA,1.384305211
E003,Alex Johnson,Engineering,3001,SOFTMOC 8464 WHITBY ON,1,9/9/2025,9/8/2025,SOFTMOC 8464,176.39,Debit,5661.0,WHITBY,CAN,L1N2C3,ON,0.0
E005,Daniel Kim,Product,3001,TLF*THE AWESOME BLOSSO EDMONTON AB,1,9/9/2025,9/8/2025,TLF*THE AWESOME BLOSSO,11.55,Debit,5992.0,EDMONTON,CAN,T5M 4G5,AB,0.0
E003,Alex Johnson,Product,3001,CCD ORION SALEM OR,1,9/9/2025,9/8/2025,CCD ORION,515.71,Debit,9399.0,SALEM,USA,973015397,OR,1.384812287
E004,Emma Wilson,Customer Success,3001,MI SUPERLOAD WINNIPEG MB,1,9/9/2025,9/8/2025,MI SUPERLOAD,81.0,Debit,8220.0,WINNIPEG,CAN,R3H0C4,MB,0.0
E009,Noah Garcia,Marketing,3001,LESCO DISTRIBUTORS EDMONTON AB,1,9/9/2025,9/8/2025,LESCO DISTRIBUTORS,98.41,Debit,5013.0,EDMONTON,CAN,T5V 1J3,AB,0.0
E009,Noah Garcia,Operations,3001,SUPER 8 MOTELS WINNIPEG MB,1,9/10/2025,9/9/2025,SUPER 8 MOTELS,188.75,Debit,3709.0,WINNIPEG,CAN,R2J 3T3,MB,0.0
E005,Daniel Kim,Human Resources,3001,STURGEON STATION TRAVE BONNERS FERRY ID,1,9/10/2025,9/9/2025,STURGEON STATION TRAVE,596.13,Debit,5541.0,BONNERS FERRY,USA,83805,ID,1.384804038
E010,Sophia Lee,Finance,3001,SGI-MY SGI REGINA SK,1,9/10/2025,9/8/2025,SGI-MY SGI,15.0,Debit,9399.0,REGINA,CAN,S4P0J9,SK,0.0
E007,Lucas Brown,Product,3001,VCN*IDAHODOT BOISE ID,1,9/10/2025,9/9/2025,VCN*IDAHODOT,247.55,Debit,9399.0,BOISE,USA,83703,ID,1.384805046
E010,Sophia Lee,Human Resources,3001,AMZN Mktp CA*IH9VH1PN3 866-216-1072 ON,1,9/10/2025,9/10/2025,AMZN Mktp CA*IH9VH1PN3,318.42,Debit,4816.0,866-216-1072,CAN,M5J 2T3,ON,0.0
E007,Lucas Brown,Sales,137,ANNUAL FEE 2025-26,12,9/10/2025,9/1/2025,ANNUAL FEE 2025-26,150.0,Debit,,,,00000,,0.0
E006,Maya Patel,Marketing,3001,SLEEP INN REGINA EAST EMERALD PARK SK,1,9/10/2025,9/9/2025,SLEEP INN REGINA EAST,142.26,Debit,3631.0,EMERALD PARK,CAN,S4L 1B6,SK,0.0
E004,Emma Wilson,Finance,137,AUTH USER FEE 2025-26,12,9/10/2025,9/1/2025,AUTH USER FEE 2025-26,50.0,Debit,,,,00000,,0.0
E003,Alex Johnson,Engineering,137,AUTH USER FEE 2025-26,12,9/10/2025,9/1/2025,AUTH USER FEE 2025-26,50.0,Debit,,,,00000,,0.0
E009,Noah Garcia,Sales,137,AUTH USER FEE 2025-26,12,9/10/2025,8/6/2025,AUTH USER FEE 2025-26,50.0,Debit,,,,00000,,0.0
E008,Olivia Smith,Finance,3001,BB OF BAYTOWN #103 BAYTOWN TX,1,9/10/2025,9/9/2025,BB OF BAYTOWN #103,119.37,Debit,7542.0,BAYTOWN,USA,775211332,TX,1.384780024
E002,John Miller,Finance,3001,SKIPTHEDISHES WINNIPEG (BRO MB,1,9/11/2025,9/10/2025,SKIPTHEDISHES,27.13,Debit,5812.0,WINNIPEG (BRO,CAN,R3C 0T8,MB,0.0
E001,Sarah Chen,Engineering,3001,BC PERMIT CENTRE VICTORIA BC,1,9/11/2025,9/9/2025,BC PERMIT CENTRE,40.0,Debit,9399.0,VICTORIA,CAN,V8W9T5,BC,0.0
E002,John Miller,Marketing,3001,SUPER 8 MOTELS WINNIPEG MB,1,9/11/2025,9/10/2025,SUPER 8 MOTELS,34.54,Debit,3709.0,WINNIPEG,CAN,R2J 3T3,MB,0.0
E003,Alex Johnson,Operations,3001,SKEANS PNEUMATIC AND A EDMONTON AB,1,9/11/2025,9/10/2025,SKEANS PNEUMATIC AND A,311.05,Debit,5085.0,EDMONTON,CAN,T6E5L1,AB,0.0
E003,Alex Johnson,Product,3001,AMZN Mktp CA*EC6SB48K3 866-216-1072 ON,1,9/11/2025,9/11/2025,AMZN Mktp CA*EC6SB48K3,14.24,Debit,4816.0,866-216-1072,CAN,M5J 2T3,ON,0.0
E007,Lucas Brown,Engineering,3001,AMZN Mktp CA*VI8LD0BE3 866-216-1072 ON,1,9/11/2025,9/11/2025,AMZN Mktp CA*VI8LD0BE3,143.72,Debit,4816.0,866-216-1072,CAN,M5J 2T3,ON,0.0
E010,Sophia Lee,Finance,3001,SHELL FLYING J NAPANEE ON,1,9/11/2025,9/10/2025,SHELL FLYING J,25.0,Debit,5541.0,NAPANEE,CAN,K7R3L1,ON,0.0
E002,John Miller,Operations,3001,LOVE'S #0569 INSIDE BAKER CITY OR,1,9/11/2025,9/10/2025,LOVE'S #0569 INSIDE,1402.96,Debit,5541.0,BAKER CITY,USA,97814,OR,1.384103549
E007,Lucas Brown,Sales,3001,DAVES TRUCK & EQUIPMEN SAGLE ID,1,9/11/2025,9/9/2025,DAVES TRUCK & EQUIPMEN,177.43,Debit,7531.0,SAGLE,USA,83860,ID,1.3848
E007,Lucas Brown,Engineering,3001,ONE9 513 PRIMM NV,1,9/11/2025,9/9/2025,ONE9 513,993.09,Debit,5541.0,PRIMM,USA,89019,NV,1.3841
E010,Sophia Lee,Marketing,3001,WSDOT COMMERCIAL VEHIC TUMWATER WA,1,9/11/2025,9/10/2025,WSDOT COMMERCIAL VEHIC,46.78,Debit,9399.0,TUMWATER,USA,98504,WA,1.384708738
E008,Olivia Smith,Sales,3001,Awesome Blos LOVINGLY Vancouver BC,1,9/11/2025,9/11/2025,Awesome Blos LOVINGLY,138.54,Debit,5992.0,Vancouver,CAN,V7X 1S8,BC,0.0
E009,Noah Garcia,Engineering,3001,DTOPS SINGLE CROSSING INDIANAPOLIS IN,1,9/11/2025,9/10/2025,DTOPS SINGLE CROSSING,27.86,Debit,9399.0,INDIANAPOLIS,USA,46278,IN,1.386734694
E005,Daniel Kim,Engineering,3001,FLYING J MEDICINE HAT AB,1,9/12/2025,9/11/2025,FLYING J,258.78,Debit,5541.0,MEDICINE HAT,CAN,T1C1W7,AB,0.0
E009,Noah Garcia,Product,3001,DTOPS SINGLE CROSSING INDIANAPOLIS IN,1,9/12/2025,9/11/2025,DTOPS SINGLE CROSSING,27.91,Debit,9399.0,INDIANAPOLIS,USA,46278,IN,1.389285714
